horizon,MAE,RMSE,MAPE
1,0.3395175000397231,0.4370112617513708,3.544102627535807
2,0.3736787713522937,0.4854637065817229,3.986591131967053
3,0.374593879691488,0.4990372596079769,3.922649581787285
4,0.3470085025381629,0.4720311837239905,3.695267520180835
5,0.3558996897316385,0.4974785357166419,3.79637146888064
6,0.347144399442823,0.4862942108775089,3.730941487044664
7,0.3802622904735078,0.5296070947548965,4.0724732487486826
8,0.3615946931720174,0.512643273101666,3.915568807595968
9,0.3571666055156913,0.5145840960965621,3.894358373761587
10,0.3461971102032477,0.5107601171727761,3.817148061255491
11,0.3877965370672444,0.562328720058951,4.229590779031497
12,0.3650145157250864,0.5395038553384983,4.035412524112188
13,0.3759427702550263,0.5379941519326288,4.114045691322096
14,0.363624449113858,0.5424187404560475,4.021102912902693
15,0.3910787160701089,0.5601406979788961,4.289240885638676
16,0.3753567621987434,0.5506263980676644,4.144348869882859
17,0.40891599309241,0.597054003783402,4.465943888489417
18,0.4033513166266746,0.5866150236221686,4.408287859486914
19,0.3904695208218759,0.5680100917848594,4.267939768400447
20,0.397574078957026,0.5774243111096218,4.380482255352336
21,0.4055507388541943,0.5826423741702099,4.449302845072015
22,0.4012310156792586,0.5885674987458984,4.421492125087177
23,0.4137043032807087,0.5984912924785525,4.533090303888423
24,0.3938239844135421,0.5762698044220055,4.341476508071837
25,0.4080412664917504,0.6049710026435685,4.612062281883287
26,0.4062135768753113,0.5975472843013092,4.503433391882609
27,0.4090093380534043,0.6011165654104883,4.567471512175132
28,0.4003704255327495,0.5862904814671223,4.488485741766365
29,0.4200535706216313,0.6070536667203044,4.629108281539144
30,0.439706101936227,0.6384459799737218,4.861595158356326
31,0.4218731958640291,0.6083255958992698,4.657947019763312
32,0.4287576753069916,0.6263474931479523,4.724612091764096
33,0.4314141617215666,0.6283658902328129,4.867676121643525
34,0.4385925310199193,0.6340399409849201,4.876365785737215
35,0.4359802231539376,0.6385411669822314,4.840596182835024
36,0.4306568863442042,0.6290840858605198,4.7924589416683965
37,0.4563011365151099,0.6613297063088153,5.060949504396314
38,0.4357979588596398,0.6367035414430344,4.865798414334507
39,0.4491634829816412,0.6568450211977988,5.0018222414041285
40,0.4562615119513358,0.6607200320048062,5.063724398694194
41,0.4700037941524649,0.6811030377923953,5.203200124837279
42,0.4509593732182659,0.6611020541262685,5.105765821088602
43,0.4624092736057825,0.6745536050163968,5.182494926315448
44,0.4627963418050405,0.6813908187901607,5.205810047992096
45,0.4585973071503474,0.6722171465064039,5.139701418601432
46,0.4663422960609969,0.6764427581280894,5.190352520622682
47,0.4651190762620836,0.6763982885094552,5.173601413891419
48,0.4721072982572918,0.6841851632075842,5.233382682808172
49,0.466598557213551,0.6802937645950491,5.29045375701882
50,0.477980286297165,0.6940766658262933,5.395897121333642
51,0.4688129791612929,0.6820078035377858,5.26133826649789
52,0.4708587764869664,0.690715584439155,5.281737808370634
53,0.479592606160098,0.6976650726825571,5.420079340228258
54,0.4817587099191515,0.7032868944375019,5.385048266343511
55,0.4963655108383852,0.7212073203703246,5.577530238312641
56,0.4916771102938345,0.7154397147707987,5.571195321630719
57,0.4861742546602865,0.7088945185970645,5.487988838898315
58,0.4874396847660588,0.7100600921210621,5.511076014173588
59,0.4934857965189959,0.7145431379102142,5.588965101029428
60,0.5015990451121212,0.7261970840632067,5.65004414477824
61,0.5019511594761031,0.7231775246805223,5.65012516331959
62,0.4890875464048906,0.7096104486609434,5.503313114264398
63,0.499647731147052,0.7203484013936767,5.640858065883246
64,0.5027220769990509,0.728425221210041,5.698551857672714
65,0.5053303212922772,0.7279650095750384,5.688877406355494
66,0.5168432381175488,0.7476199270880028,5.889257273962533
67,0.520013222328042,0.749443054321468,5.848662313047913
68,0.5186026307469835,0.74877693373748,5.801680937010612
69,0.5249370280710232,0.7583640655613354,5.948737187592909
70,0.5251170156378515,0.7600121724108533,5.96791424938524
71,0.509860573063105,0.7384941781451856,5.741002800309011
72,0.5166748783107051,0.7469695516219766,5.811159731431862
73,0.5258544830373851,0.7614217629161203,5.9689379750305225
74,0.530911812805384,0.7647738022648376,6.055510393935895
75,0.5202288960972214,0.7518009408931928,5.882046001991352
76,0.5270006821125475,0.7573304077993209,6.0006513392822125
77,0.5300319932287166,0.7656455987141347,5.977507294051832
78,0.5339925750736849,0.7680695773183173,6.050885489719981
79,0.5599047259634565,0.7972407164425608,6.433224222637697
80,0.5380213744660627,0.7756280488260612,6.049736375404927
81,0.5510890194831809,0.7955818030699464,6.246331261114429
82,0.5360043567266561,0.7722343521323428,6.073447969813179
83,0.5388901663765611,0.7732335356693691,6.104902373670537
84,0.5337828406839413,0.7683738025316587,6.052582768052004
85,0.5385983588622621,0.7726346977751597,6.090542876181637
86,0.5474696213615166,0.7874237371270489,6.238682171532572
87,0.5478007966673496,0.7864161612042131,6.2291327169644655
88,0.5625826928607234,0.8062165099519504,6.433657966879163
89,0.5741629618832558,0.8184472911999389,6.585418061719252
90,0.5538142605231454,0.7963721592880171,6.268181357675625
91,0.5778736499130555,0.8253592774982604,6.599903026370496
92,0.5811137610955738,0.8269579310841038,6.696842115087332
93,0.5702715557581313,0.8149665158829424,6.555004991237314
94,0.5867796092155936,0.8302664267643968,6.759319266452899
95,0.5694633203988091,0.8151222845125948,6.475406468646455
96,0.5708301051111314,0.8195602681347874,6.502974095930273
97,0.5707550000917996,0.8177604893134798,6.49243592742661
98,0.5712092565865444,0.8209307176865749,6.48266841526458
99,0.5918879111664533,0.8408414710779052,6.75607036250096
100,0.6001656357620058,0.8550862411330721,6.884894069980653
101,0.5915943004229797,0.8453749720654925,6.765177616706026
102,0.5634419501526834,0.8083977544822432,6.36484677903135
103,0.6042408537461164,0.86150020700504,6.891524158135049
104,0.602523914628465,0.8560403127018275,6.904303636721465
105,0.5796450224122192,0.8303989848578068,6.603537320831024
106,0.5869099464317034,0.8398402742098064,6.691281237878973
107,0.5837154960918622,0.8343172505574724,6.655818329013805
108,0.6105981322880639,0.8640062473960536,7.02750355860607
109,0.5824308259104873,0.8346159358779712,6.651694575181274
110,0.6110400215325421,0.868985651628461,7.005760595455208
120,0.6036644185637057,0.8579557130291526,6.931808338219728
130,0.6359261040221735,0.8996946083135899,7.29049327884722
140,0.6885553056417066,0.956389120964844,7.973863161720331
150,0.6386721803730366,0.899231447842044,7.320715521491106
160,0.663714541701725,0.935256064686908,7.598352286500287
170,0.6458060181818801,0.9099849583044358,7.363355788186661
180,0.6737905561471828,0.9433041738795936,7.693829529984283
190,0.6742641263212528,0.9419798232205396,7.737556071254594
200,0.7005569645827451,0.9736924531505468,8.05512211736558
210,0.7041631449987984,0.9754298232851604,8.101585430548925
220,0.6882833508613839,0.9591570421862726,7.916063305481534
230,0.6864922995338256,0.9568689429746766,7.869839833397804
240,0.6971734719377876,0.969997227035072,8.031112934320886
250,0.7233968891917975,0.9988087486676018,8.358791230127707
260,0.7068479968201556,0.9832442497952608,8.129777900488012
270,0.7155925619241688,0.9916248396622632,8.245420923821303
280,0.701285810338056,0.9749060890209396,8.059739477108307
290,0.7033683841532729,0.9760708819680616,8.127362891431382
300,0.706037724833304,0.9789662276354584,8.137854272548232
300,0.7284766570082568,1.0065727250653034,8.42536574244455
400,0.7368630050456897,1.0193248389953138,8.49039130928583
500,0.7281547968351337,1.006760685548688,8.444921130363472
600,0.7340431160460303,1.0162734636107649,8.501319254750484
700,0.7253832282832156,1.0071967253464131,8.407751630375094
800,0.7521659572102684,1.0367731183260749,8.752881006259438
900,0.725054513602846,1.0042826564310503,8.415861265045525
1000,0.7256671752869502,1.0032065646851211,8.444866850958519
1100,0.7157195153477942,0.9896321805360572,8.317782019085
1200,0.7156800904381506,0.988907743922797,8.348819413626481
1300,0.7123465980247793,0.9861318980371068,8.309204250379015
1400,0.705502933634732,0.9782357090455336,8.228760895976844
1500,0.6944926552400642,0.9649825081803788,8.106388074953944
1600,0.6972730463292953,0.9678792405027713,8.144706611437389
1700,0.7099919323377124,0.9836247403373014,8.329135432549496
1800,0.6979488556031862,0.9681043457828759,8.198583583933333
1900,0.694846770688486,0.9658595916150078,8.15426074666943
2000,0.7021262427221489,0.9716009585091799,8.272047382709632
